SOA,Program,Crop,Crop_2,Value,share,150
Inibidores da ACCase ,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da DOXP sintase,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),20,12,
Inibidores da glutamina sintetase,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da HPPD,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),30,19,
Inibidores da EPSPS,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),10,6,
Inibidores da formação de microtubulos,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Desvio de elétrons do FSI,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores do FSII,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),50,31,
Inibidores da PPO,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Mimetizadores da auxina,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),30,19,
Inibidores da AGCML,PÓS-emergente,Cana-de-açucar,Cana-de-açucar (n=31),11,7,
Inibidores da ALS ,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,0
Inibidores da ACCase ,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da DOXP sintase,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da glutamina sintetase,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da HPPD,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da EPSPS,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da formação de microtubulos,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Desvio de elétrons do FSI,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores do FSII,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da PPO,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Mimetizadores da auxina,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da AGCML,Dessecante colheita,Cana-de-açucar,Cana-de-açucar (n=31),0,0,
Inibidores da ALS ,Dessecante pré plantio,Trigo,Trigo (n=33),4,2,200
Inibidores da ACCase ,Dessecante pré plantio,Trigo,Trigo (n=33),48,24,
Inibidores da DOXP sintase,Dessecante pré plantio,Trigo,Trigo (n=33),0,0,
Inibidores da glutamina sintetase,Dessecante pré plantio,Trigo,Trigo (n=33),0,0,
Inibidores da HPPD,Dessecante pré plantio,Trigo,Trigo (n=33),0,0,
Inibidores da EPSPS,Dessecante pré plantio,Trigo,Trigo (n=33),88,44,
Inibidores da formação de microtubulos,Dessecante pré plantio,Trigo,Trigo (n=33),0,0,
Desvio de elétrons do FSI,Dessecante pré plantio,Trigo,Trigo (n=33),24,12,
Inibidores do FSII,Dessecante pré plantio,Trigo,Trigo (n=33),0,0,
Inibidores da PPO,Dessecante pré plantio,Trigo,Trigo (n=33),12,6,
Mimetizadores da auxina,Dessecante pré plantio,Trigo,Trigo (n=33),24,12,
Inibidores da AGCML,Dessecante pré plantio,Trigo,Trigo (n=33),0,0,
Inibidores da ALS ,PRÉ-emergente,Trigo,Trigo (n=33),75,38,200
Inibidores da ACCase ,PRÉ-emergente,Trigo,Trigo (n=33),25,13,
Inibidores da DOXP sintase,PRÉ-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da glutamina sintetase,PRÉ-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da HPPD,PRÉ-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da EPSPS,PRÉ-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da formação de microtubulos,PRÉ-emergente,Trigo,Trigo (n=33),0,0,
Desvio de elétrons do FSI,PRÉ-emergente,Trigo,Trigo (n=33),25,13,
Inibidores do FSII,PRÉ-emergente,Trigo,Trigo (n=33),25,13,
Inibidores da PPO,PRÉ-emergente,Trigo,Trigo (n=33),25,13,
Mimetizadores da auxina,PRÉ-emergente,Trigo,Trigo (n=33),25,13,
Inibidores da AGCML,PRÉ-emergente,Trigo,Trigo (n=33),0,0,
Inibidores da ALS ,PÓS-emergente,Trigo,Trigo (n=33),76,46,164
